,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
0,1,FORTALEZA,11,HEITOR FÉRRER,63199
1,1,FORTALEZA,11,SARTO,457622
2,1,FORTALEZA,11,PAULA COLARES,893
3,1,FORTALEZA,11,Nulo,92295
4,1,FORTALEZA,11,RENATO ROSENO,34346
5,1,FORTALEZA,11,CAPITÃO WAGNER,426803
6,1,FORTALEZA,11,Branco,50234
7,1,FORTALEZA,11,HEITOR FREIRE,21210
8,1,FORTALEZA,11,ANIZIO,2264
9,1,FORTALEZA,11,CELIO STUDART,45369
10,1,FORTALEZA,11,LUIZIANNE LINS,227470
11,1,FORTALEZA,11,SAMUEL BRAGA,1749
12,1,FORTALEZA,11,JOSÉ LOURETO,154
1323,1,MARANGUAPE,11,REGIS,1933
1324,1,MARANGUAPE,11,ELIZIÁRIO MAIA,1290
1325,1,MARANGUAPE,11,ÁTILA CÂMARA,22391
1326,1,MARANGUAPE,11,JOAO PAULO XEREZ,21032
1327,1,MARANGUAPE,11,Nulo,2948
1328,1,MARANGUAPE,11,Branco,1370
1329,1,MARANGUAPE,11,GEORGE VALENTIM,14909
1619,1,PALMÁCIA,11,DELEGADO MOISÉS FERNANDES,2417
1620,1,PALMÁCIA,11,DAVID CAMPOS,4436
1621,1,PALMÁCIA,11,Nulo,267
1622,1,PALMÁCIA,11,FRANCISCO JOHN DA SILVA,593
1623,1,PALMÁCIA,11,Branco,96
1674,1,BATURITÉ,11,SEGUNDINHO,4831
1675,1,BATURITÉ,11,IVO JUNIOR,6251
1676,1,BATURITÉ,11,HERBERLH MOTA,7419
1677,1,BATURITÉ,11,ALBERTO RODRIGUES,29
1678,1,BATURITÉ,11,Nulo,873
1679,1,BATURITÉ,11,Branco,476
1680,1,BATURITÉ,11,DR MARCIO LUZ,1673
1793,1,MULUNGU,11,Nulo,212
1794,1,MULUNGU,11,RAFAEL VINHAS,2531
1795,1,MULUNGU,11,Branco,78
1796,1,MULUNGU,11,ROBERT VIANA,4365
1826,1,PACOTI,11,MACIEL BEZERRA,412
1827,1,PACOTI,11,KIKO SAMPAIO,3544
1828,1,PACOTI,11,DR MARCOS,4439
1829,1,PACOTI,11,Nulo,498
1830,1,PACOTI,11,Branco,100
1907,1,GUARAMIRANGA,11,ROBERLANDIA FERREIRA,2785
1908,1,GUARAMIRANGA,11,Branco,78
1909,1,GUARAMIRANGA,11,Nulo,178
1910,1,GUARAMIRANGA,11,LUIZ VIANA,2019
1963,1,QUIXADÁ,11,SÉRGIO ONOFRE,1892
1964,1,QUIXADÁ,11,RICARDO SILVEIRA,22807
1965,1,QUIXADÁ,11,Branco,739
1966,1,QUIXADÁ,11,ILÁRIO MARQUES,19428
1967,1,QUIXADÁ,11,CESAR AUGUSTO,756
1968,1,QUIXADÁ,11,Nulo,1765
1969,1,QUIXADÁ,11,CÍCERO FREITAS,308
2141,1,IBARETAMA,11,ELÍRIA QUEIROZ,3567
2142,1,IBARETAMA,11,CELINO JUNIOR,608
2143,1,IBARETAMA,11,CAUÊ FONTELES,3039
2144,1,IBARETAMA,11,Branco,107
2145,1,IBARETAMA,11,Nulo,331
2146,1,IBARETAMA,11,CARLIANDO ALMEIDA,2739
2195,1,CHORÓ,11,MARCONDES JUCÁ,4686
2196,1,CHORÓ,11,Nulo,258
2197,1,CHORÓ,11,Branco,124
2198,1,CHORÓ,11,CABEÇA DE CHORÓ,4023
2199,1,CHORÓ,11,LUIZ CARLOS,572
2263,1,BANABUIÚ,11,Branco,148
2264,1,BANABUIÚ,11,EDINHO NOBRE,7093
2265,1,BANABUIÚ,11,Nulo,409
2266,1,BANABUIÚ,11,VERIDIANO SALES,4769
2336,1,CASCAVEL,11,Branco,887
2337,1,CASCAVEL,11,LINDOMAR MONTEIRO,346
2338,1,CASCAVEL,11,TIAGO RIBEIRO,26071
2339,1,CASCAVEL,11,ZÉ DE LIMA,17811
2340,1,CASCAVEL,11,Nulo,2116
2341,1,CASCAVEL,11,ALTAITE DIAS,28
2455,1,PINDORETAMA,11,MILLER ROCHA,1278
2456,1,PINDORETAMA,11,TADEU DAS RAÇÕES,4770
2457,1,PINDORETAMA,11,PROFESSOR SULA,93
2458,1,PINDORETAMA,11,Branco,233
2459,1,PINDORETAMA,11,Nulo,587
2460,1,PINDORETAMA,11,NINO DIEB,1007
2461,1,PINDORETAMA,11,CLAUDINHO DO SENHORZINHO,2493
2462,1,PINDORETAMA,11,DEDÉ,5105
2567,1,ARACATI,11,Nulo,2083
2568,1,ARACATI,11,CAETANO NETO,19085
2569,1,ARACATI,11,Branco,818
2570,1,ARACATI,11,BISMARCK MAIA,23978
2700,1,FORTIM,11,Nulo,374
2701,1,FORTIM,11,NASELMO FERREIRA,10421
2702,1,FORTIM,11,PROF HILTINHO DE CASÉ,1216
2703,1,FORTIM,11,Branco,143
2730,1,ICAPUÍ,11,LACERDA,7328
2731,1,ICAPUÍ,11,Branco,184
2732,1,ICAPUÍ,11,Nulo,353
2733,1,ICAPUÍ,11,EURIVAN DE PAULA,5092
2734,1,ICAPUÍ,11,DRA SILVANA,1181
2735,1,ICAPUÍ,11,ODIVAN PEDRO,46
2784,1,PALHANO,11,ASSIS DO OÁSIS,1249
2785,1,PALHANO,11,Branco,71
2786,1,PALHANO,11,DINHO DO ZÉ DO HONÓRIO,3422
2787,1,PALHANO,11,BATISTA DA MARIANA,2996
2788,1,PALHANO,11,Nulo,165
2848,1,RUSSAS,11,NATHIZAEL,14913
2849,1,RUSSAS,11,SAVIO GURGEL,28265
2850,1,RUSSAS,11,Nulo,1583
2851,1,RUSSAS,11,Branco,507
2852,1,RUSSAS,11,JÚNIOR GONÇALVES,2421
2997,1,JAGUARIBE,11,MAJOR MARIO,2674
2998,1,JAGUARIBE,11,Branco,244
2999,1,JAGUARIBE,11,Nulo,679
3000,1,JAGUARIBE,11,ALEXANDRE DE ZÉ SÉRGIO,9387
3001,1,JAGUARIBE,11,DR. VALDERIY,245
3002,1,JAGUARIBE,11,VALNEI PEIXOTO,9350
3079,1,ERERÉ,11,Nulo,147
3080,1,ERERÉ,11,Branco,100
3081,1,ERERÉ,11,TOINHO DE LUIZÃO,732
