NM_MUNICIPIO,NM_VEREADOR,SG_PARTIDO_VEREADOR,DS_COMPOSICAO_COLIGACAO_VEREADOR,QT_VOTOS_VEREADOR
ABAIARA,ADRIANA DE ZE DO GAS,PT,PT,6.0
ABAIARA,ANIKELLI,MDB,MDB,6.0
ABAIARA,ARNALDO DA BAIXA DANTAS,PT,PT,383.0
ABAIARA,BETA DE ALDECOB,MDB,MDB,22.0
ABAIARA,BILÚ,PSD,PSD,442.0
ABAIARA,CAJU,MDB,MDB,23.0
ABAIARA,CHICO ANIZIO,MDB,MDB,8.0
ABAIARA,CLAUDIANE,PT,PT,211.0
ABAIARA,DADA DA SORTE,MDB,MDB,17.0
ABAIARA,DANIELE,MDB,MDB,4.0
ABAIARA,DANIELE DE ZEMAR,PT,PT,155.0
ABAIARA,DEDA JÓ,PSD,PSD,365.0
ABAIARA,DRA MARA SAMPAIO,MDB,MDB,229.0
ABAIARA,EUZELIA SAMPAIO,PSD,PSD,9.0
ABAIARA,FELIPE DE ZE TAVARES,PT,PT,99.0
ABAIARA,FRANCISCO DE TINDÔ,PSD,PSD,624.0
ABAIARA,GERALDO DIODATO,PT,PT,210.0
ABAIARA,GISELE LIMA,PT,PT,150.0
ABAIARA,HERNANDES,MDB,MDB,21.0
ABAIARA,IRISMAR CAVALCANTE,PT,PT,21.0
ABAIARA,IRMA FRANCISCA,PT,PT,5.0
ABAIARA,ISMAEL GRANGEIRO,PT,PT,290.0
ABAIARA,JOÃO LIZEU,PSD,PSD,150.0
ABAIARA,JOÃO MARCELO,MDB,MDB,162.0
ABAIARA,KARIELISON MATHIAS,MDB,MDB,64.0
ABAIARA,LANIM,PSD,PSD,183.0
ABAIARA,LUCAS DO OLHO DAGUA,MDB,MDB,52.0
ABAIARA,LUIS LAURINDO,MDB,MDB,99.0
ABAIARA,LULU,PT,PT,297.0
ABAIARA,MANHÔ,PSD,PSD,16.0
ABAIARA,MANOEL ALVES,PT,PT,368.0
ABAIARA,MARCELO ALVES,PT,PT,261.0
ABAIARA,PASTOR GIL,MDB,MDB,42.0
ABAIARA,RICARDO LEITE,PT,PT,389.0
ABAIARA,TATÁ,PSD,PSD,6.0
ACARAPE,ADRIANA DO NOGUEIRA,PATRIOTA,PATRIOTA,16.0
ACARAPE,ALEXANDRE FALCÃO,PT,PT,431.0
ACARAPE,ARIMATEA,PDT,PDT,1.0
ACARAPE,ARLENE DA SAUDE,PDT,PDT,111.0
ACARAPE,BITONHO,MDB,MDB,58.0
ACARAPE,BOMFIM DO DEPÓSITO,PATRIOTA,PATRIOTA,167.0
ACARAPE,BRUNO ALCINO,PATRIOTA,PATRIOTA,194.0
ACARAPE,BUITO VALMIR,PATRIOTA,PATRIOTA,353.0
ACARAPE,CEIÇA VITOR,MDB,MDB,73.0
ACARAPE,CELINA CARLOS,PSD,PSD,340.0
ACARAPE,CICERA,PSD,PSD,13.0
ACARAPE,CLAUSIANO,PSD,PSD,235.0
ACARAPE,CLÁUDIO GORDO,PT,PT,497.0
ACARAPE,COELHO,MDB,MDB,28.0
ACARAPE,CRIS OLIVEIRA,PT,PT,14.0
ACARAPE,DANIELLE SAMPAIO,PSD,PSD,156.0
ACARAPE,DOUTORA KARINE BEZERRA,PT,PT,369.0
ACARAPE,DR NAPOLEAO,PDT,PDT,2.0
ACARAPE,DR PAULO QUARESMA,PSD,PSD,523.0
ACARAPE,ELMA DA SAUDE,MDB,MDB,21.0
ACARAPE,ERINALDO,PDT,PDT,259.0
ACARAPE,ERINEUDO DO PT,PT,PT,74.0
ACARAPE,FABIO CORREIA,PT,PT,155.0
ACARAPE,FERNANDO MORENO,PSD,PSD,587.0
ACARAPE,FOFAO,PSD,PSD,31.0
ACARAPE,FRANCISCO LIMA,PATRIOTA,PATRIOTA,121.0
ACARAPE,GEANE LIMA,PDT,PDT,186.0
ACARAPE,GESSYKA LEAL,PATRIOTA,PATRIOTA,105.0
ACARAPE,IRMAO CLAUDIO,MDB,MDB,119.0
ACARAPE,IRMÃO TOCA,PATRIOTA,PATRIOTA,19.0
ACARAPE,ITALO BOMFIM,PDT,PDT,308.0
ACARAPE,JARDEL PAZ,PSD,PSD,156.0
ACARAPE,JOCIARA,PT,PT,9.0
ACARAPE,JOELMA,PDT,PDT,28.0
ACARAPE,LIAUDO MONTEIRO,PSD,PSD,459.0
ACARAPE,LIZ EVANGELISTA,PSD,PSD,11.0
ACARAPE,LOURO DO SARUÊ,MDB,MDB,88.0
ACARAPE,LUIZINHO,PSD,PSD,83.0
ACARAPE,MARCELO DA REGINA,PT,PT,353.0
ACARAPE,MARCELO DO TECA,MDB,MDB,185.0
ACARAPE,MARCOS FILHO,PDT,PDT,17.0
ACARAPE,MARIA HELENA DA SAUDE,MDB,MDB,19.0
ACARAPE,MELÃO,PT,PT,266.0
ACARAPE,MOACIR,PT,PT,339.0
ACARAPE,MÁRCIO PRESENÇA,PATRIOTA,PATRIOTA,314.0
ACARAPE,NEL LOURENÇO,PSD,PSD,45.0
ACARAPE,PASTOR TIANO LEMOS,PATRIOTA,PATRIOTA,3.0
ACARAPE,PATRICIA KELLY,PDT,PDT,31.0
ACARAPE,PROF FABIO ALMEIDA,PSD,PSD,170.0
ACARAPE,RODRIGO TINOCO,PDT,PDT,107.0
ACARAPE,SABRINA MARTINS,PATRIOTA,PATRIOTA,13.0
ACARAPE,SONIA,PATRIOTA,PATRIOTA,14.0
ACARAPE,SÉRGIO MESQUITA,PT,PT,287.0
ACARAPE,VICENTE TAXISTA,MDB,MDB,16.0
ACARAPE,WAGUINHO DA BORRACHARIA,PATRIOTA,PATRIOTA,100.0
ACARAPE,XANDINHA DA HORA,PSD,PSD,402.0
ACARAPE,YASMIN SANTIAGO,PT,PT,12.0
ACARAPE,ZE WILSON DO SAO BENEDITO,PSD,PSD,338.0
ACARAPE,ZÉ WILSON,PDT,PDT,206.0
ACARAÚ,ADENIR MUNIZ,PT,PT,47.0
ACARAÚ,AIRTON FILHO,PSB,PSB,16.0
ACARAÚ,ALEX ARAUJO,DEM,DEM,315.0
ACARAÚ,ALLAN DA TOPIC,PDT,PDT,186.0
ACARAÚ,ANA CELIA,PT,PT,286.0
ACARAÚ,ANA RITA,DEM,DEM,24.0
ACARAÚ,ANDRÉ DAS PARABÓLICAS,PSB,PSB,517.0
ACARAÚ,CAMILA MOTA,PT,PT,310.0
ACARAÚ,CASSEB,DEM,DEM,350.0
ACARAÚ,CESAR MELLO,PT,PT,101.0
ACARAÚ,CLÁUDIO JEAN,PSB,PSB,943.0
ACARAÚ,COLOMBO,PDT,PDT,1333.0
ACARAÚ,CÉLIO DAS ALMECEGAS,PSB,PSB,9.0
ACARAÚ,DAMIÃO MEDEIROS,PSB,PSB,34.0
ACARAÚ,DARIO ARAUJO,PT,PT,622.0
ACARAÚ,DEMIR SALES,PSB,PSB,841.0
ACARAÚ,DINO ARAÚJO,DEM,DEM,676.0
ACARAÚ,DONA MARLUCE,DEM,DEM,385.0
ACARAÚ,EDILSON SALGUEIRO,PSB,PSB,1105.0
ACARAÚ,EDSON BRANDÃO,PSB,PSB,604.0
ACARAÚ,EDVALDO LOURENCO,PT,PT,257.0
ACARAÚ,ENIO ANDRADE,PDT,PDT,1087.0
ACARAÚ,ERINEUZA FONTENELE,PSB,PSB,852.0
ACARAÚ,ERISVALDO DO PEIXE,DEM,DEM,162.0
ACARAÚ,ESDRAS FONTELIS,PDT,PDT,76.0
ACARAÚ,FATIMA ARAUJO,PDT,PDT,143.0
ACARAÚ,FATIMA CARVALHO,PT,PT,484.0
ACARAÚ,FERNANDO FREITAS,PT,PT,102.0
ACARAÚ,FÁTIMA SILVEIRA,PSB,PSB,417.0
ACARAÚ,GAGUINHA DO CEDRO,PT,PT,919.0
ACARAÚ,GEUDES SILVA,DEM,DEM,320.0
ACARAÚ,GLORIA CRUZ,PT,PT,587.0
ACARAÚ,HENRIQUE PAZ,PDT,PDT,82.0
ACARAÚ,INÁCIA PARENTE,PSB,PSB,17.0
ACARAÚ,IRMÃO GIVALDO,PSB,PSB,181.0
ACARAÚ,JACK CHAN,PT,PT,15.0
ACARAÚ,JARBAS ARAÚJO,DEM,DEM,1185.0
ACARAÚ,JOANA SILVA,PSB,PSB,18.0
ACARAÚ,JOAQUIM PEDRO BECA,DEM,DEM,694.0
ACARAÚ,JOSE ILSON,PDT,PDT,1074.0
ACARAÚ,JOÃO BERLEZI,PSB,PSB,551.0
ACARAÚ,JOÃO MEDEIROS,PSB,PSB,145.0
ACARAÚ,JOÃO PAULO KEMPES,DEM,DEM,523.0
ACARAÚ,JUNIOR MOURA,DEM,DEM,392.0
ACARAÚ,JUNIOR MUNDO,PDT,PDT,1433.0
ACARAÚ,KARINE PASSOS,PDT,PDT,41.0
ACARAÚ,LEONARDO DO ACARAU,PT,PT,51.0
ACARAÚ,LOURO ELETRICISTA,DEM,DEM,16.0
ACARAÚ,LUCIA CERA,PDT,PDT,71.0
ACARAÚ,LURDINHA,PT,PT,160.0
ACARAÚ,MAEVIA SOUSA,PDT,PDT,806.0
ACARAÚ,MANOEL DO NENEM,PT,PT,777.0
ACARAÚ,MANOEL ROCHA,PDT,PDT,768.0
ACARAÚ,MARA HAIR,DEM,DEM,33.0
ACARAÚ,MARCIO MORAIS,PT,PT,538.0
ACARAÚ,MARIA DO BOBOCO,PT,PT,176.0
ACARAÚ,MAYSON MOURA,DEM,DEM,54.0
ACARAÚ,MICK ROONEY,PT,PT,264.0
ACARAÚ,NAILDA NASCIMENTO,PSB,PSB,2.0
ACARAÚ,NETAO DO POVO,PT,PT,23.0
ACARAÚ,NILTON REDENÇÃO,DEM,DEM,404.0
ACARAÚ,OSANA CELIA ANDRADE,PV,PV,4.0
ACARAÚ,PARDAL,PSB,PSB,28.0
ACARAÚ,PAULO ROCHA,DEM,DEM,786.0
ACARAÚ,PAULO SILVEIRA,PDT,PDT,1352.0
ACARAÚ,PEDRO FILHO,DEM,DEM,1012.0
ACARAÚ,PEDRO FREITAS,PDT,PDT,26.0
ACARAÚ,PEDRO GALEGO,DEM,DEM,692.0
ACARAÚ,PROFESSOR CLAUDENIR SILVEIRA,PT,PT,855.0
ACARAÚ,PROFESSOR GLEISON RODRIGUES,DEM,DEM,748.0
ACARAÚ,PROFESSOR MANOEL NETO,PT,PT,263.0
ACARAÚ,PROFESSOR ROBERTO CHAVES,PDT,PDT,210.0
ACARAÚ,RENATA CAPUI,PT,PT,38.0
ACARAÚ,ROBERTO LEAL,PSB,PSB,193.0
ACARAÚ,ROBERTO SOUSA,PSB,PSB,8.0
ACARAÚ,ROGERIO SILVEIRA,PDT,PDT,1248.0
ACARAÚ,SANDRA CELIA SILVA,PV,PV,4.0
ACARAÚ,SILVIANE LINHARES,DEM,DEM,1.0
ACARAÚ,SOCORRO DO BURITI,DEM,DEM,14.0
ACARAÚ,THERCIA BARROS,PDT,PDT,666.0
ACARAÚ,TONINHO,DEM,DEM,372.0
ACARAÚ,VICENTE AROEIRA,PSB,PSB,264.0
ACARAÚ,ZE ABEL,PT,PT,104.0
ACARAÚ,ZE MOURA,PT,PT,388.0
ACARAÚ,ZUZU,PDT,PDT,48.0
ACOPIARA,ALDINHA VIEIRA,PTB,PTB,1.0
ACOPIARA,ALZENOR ROSA,PSDB,PSDB,34.0
ACOPIARA,ANDRIELA SOUZA,MDB,MDB,6.0
ACOPIARA,ARAGÃO,PTB,PTB,10.0
ACOPIARA,ARYTHUZA ALBUQUERQUE,MDB,MDB,16.0
ACOPIARA,BAIANO CONSTRUTOR,PTB,PTB,756.0
ACOPIARA,BETO DA AMBULÂNCIA,DEM,DEM,74.0
ACOPIARA,BILL,DEM,DEM,698.0
ACOPIARA,CARLOS RIBEIRO,PT,PT,4.0
ACOPIARA,CATITA,PTB,PTB,115.0
ACOPIARA,CHARLES MOREIRA,PT,PT,740.0
ACOPIARA,CHICO ARRUDA,DEM,DEM,126.0
ACOPIARA,CHICO SALVIANO,MDB,MDB,17.0
ACOPIARA,CICERO BRILHANTE,PTB,PTB,103.0
ACOPIARA,CICERO SAMPAIO,PSDB,PSDB,16.0
ACOPIARA,CICINHO DE OTAVIANO,MDB,MDB,682.0
ACOPIARA,DALMO DALLARY,DEM,DEM,79.0
ACOPIARA,DARIO FELIPE,PTB,PTB,968.0
ACOPIARA,DENIS BASTOS,MDB,MDB,1427.0
ACOPIARA,DR ROGÉRIO,MDB,MDB,548.0
ACOPIARA,DR. RÉGIOS,MDB,MDB,1055.0
ACOPIARA,EDNARDO ALMEIDA,PTB,PTB,741.0
ACOPIARA,EDUARDO GASPAR,MDB,MDB,600.0
ACOPIARA,ELIAS MANDÚ,MDB,MDB,1104.0
ACOPIARA,ELIZANGELA FREITAS,DEM,DEM,161.0
ACOPIARA,ELIZÂNGELA CARVALHO,MDB,MDB,914.0
ACOPIARA,ERIVANDA DE MACEDO,PTB,PTB,3.0
ACOPIARA,ERMAURO CRISPIM,DEM,DEM,138.0
ACOPIARA,GARIBALDE UCHÔA,PSDB,PSDB,606.0
ACOPIARA,GIOVANNA MOREIRA,PDT,PDT,1521.0
ACOPIARA,GLEIRTON DIAS,PT,PT,765.0
ACOPIARA,IVO BEZERRA,PDT,PDT,1012.0
ACOPIARA,JEFFIM DO MOREIRAO,PDT,PDT,1677.0
ACOPIARA,JULIANA FEITOSA,MDB,MDB,3.0
ACOPIARA,JÉSSICA OLIVEIRA,PTB,PTB,181.0
ACOPIARA,LEUDICLÊ ALVES,PT,PT,353.0
ACOPIARA,MAIDÊ FERREIRA,DEM,DEM,184.0
ACOPIARA,MANINHO DOS FRANGOS,PDT,PDT,1265.0
ACOPIARA,MARCELO BARBOSA,MDB,MDB,1192.0
ACOPIARA,MARCIA ALVES,PTB,PTB,6.0
ACOPIARA,MARCILIO CARVALHO,PTB,PTB,355.0
ACOPIARA,MARIA ALVES,DEM,DEM,1.0
ACOPIARA,MARIA LUIZA,PT,PT,5.0
ACOPIARA,MARILAK TEIXEIRA,PDT,PDT,1943.0
ACOPIARA,MARLON MATOS,PL,PL,11.0
ACOPIARA,MUNDOCA,MDB,MDB,1299.0
ACOPIARA,NANOVA DO BOM NOME,DEM,DEM,237.0
ACOPIARA,NETINHA,MDB,MDB,8.0
ACOPIARA,NEUDA UCHÔA,PSDB,PSDB,67.0
ACOPIARA,REGINA ARAÚJO,PT,PT,265.0
ACOPIARA,RICARDO COSTA,MDB,MDB,1411.0
